lokasi,tipe,tahun,bulan,isTotal,avai,used
BRU,STO,2022,0,3000,510,2490
BRU,STO,2022,1,3000,480,2520
BRU,STO,2022,2,3040,485,2555
BRU,STO,2022,3,3040,455,2585
BRU,STO,2022,4,3080,470,2610
BRU,STO,2022,5,3080,440,2640
BRU,STO,2022,6,3120,425,2695
BRU,STO,2022,7,3120,380,2740
BRU,STO,2022,8,3160,310,2850
BRU,STO,2022,9,3160,265,2895
BRU,STO,2022,10,3200,260,2940
MKM,STO,2022,0,3285,558,2727
MKM,STO,2022,1,3285,526,2759
MKM,STO,2022,2,3329,531,2798
MKM,STO,2022,3,3329,498,2831
MKM,STO,2022,4,3373,514,2859
MKM,STO,2022,5,3373,481,2892
MKM,STO,2022,6,3417,465,2952
MKM,STO,2022,7,3417,417,3000
MKM,STO,2022,8,3460,340,3120
MKM,STO,2022,9,3460,290,3170
MKM,STO,2022,10,3504,285,3219
SKU,STO,2022,0,2778,472,2306
SKU,STO,2022,1,2778,445,2333
SKU,STO,2022,2,2815,449,2366
SKU,STO,2022,3,2815,421,2394
SKU,STO,2022,4,2852,435,2417
SKU,STO,2022,5,2852,407,2445
SKU,STO,2022,6,2889,393,2496
SKU,STO,2022,7,2889,352,2537
SKU,STO,2022,8,2926,287,2639
SKU,STO,2022,9,2926,245,2681
SKU,STO,2022,10,2963,241,2722
BAM,STO,2022,0,1917,326,1591
BAM,STO,2022,1,1917,307,1610
BAM,STO,2022,2,1943,310,1633
BAM,STO,2022,3,1943,291,1652
BAM,STO,2022,4,1969,301,1668
BAM,STO,2022,5,1969,281,1688
BAM,STO,2022,6,1995,272,1723
BAM,STO,2022,7,1995,243,1752
BAM,STO,2022,8,2022,190,1832
BAM,STO,2022,9,2022,165,1857
BAM,STO,2022,10,2058,162,1896
KRO,STO,2022,0,1620,275,1345
KRO,STO,2022,1,1620,259,1361
KRO,STO,2022,2,1642,261,1381
KRO,STO,2022,3,1642,245,1397
KRO,STO,2022,4,1663,253,1410
KRO,STO,2022,5,1663,237,1426
KRO,STO,2022,6,1685,229,1456
KRO,STO,2022,7,1685,205,1480
KRO,STO,2022,8,1706,166,1540
KRO,STO,2022,9,1706,143,1563
KRO,STO,2022,10,1728,140,1588
KJN,STO,2022,0,1737,295,1442
KJN,STO,2022,1,1737,278,1459
KJN,STO,2022,2,1760,280,1480
KJN,STO,2022,3,1760,263,1497
KJN,STO,2022,4,1783,271,1512
KJN,STO,2022,5,1783,254,1529
KJN,STO,2022,6,1806,246,1560
KJN,STO,2022,7,1806,220,1586
KJN,STO,2022,8,1829,179,1650
KJN,STO,2022,9,1829,154,1675
KJN,STO,2022,10,1852,151,1701
LAB,STO,2022,0,1452,247,1205
LAB,STO,2022,1,1452,232,1220
LAB,STO,2022,2,1472,234,1238
LAB,STO,2022,3,1472,220,1252
LAB,STO,2022,4,1491,227,1264
LAB,STO,2022,5,1491,212,1279
LAB,STO,2022,6,1510,205,1305
LAB,STO,2022,7,1510,184,1326
LAB,STO,2022,8,1530,150,1380
LAB,STO,2022,9,1530,129,1401
LAB,STO,2022,10,1549,126,1423
LIK,STO,2022,0,1809,307,1502
LIK,STO,2022,1,1809,289,1520
LIK,STO,2022,2,1834,292,1542
LIK,STO,2022,3,1834,274,1560
LIK,STO,2022,4,1858,283,1575
LIK,STO,2022,5,1858,265,1593
LIK,STO,2022,6,1882,257,1625
LIK,STO,2022,7,1882,230,1652
LIK,STO,2022,8,1907,187,1720
LIK,STO,2022,9,1907,161,1746
LIK,STO,2022,10,1931,158,1773
MJW,STO,2022,0,1359,231,1128
MJW,STO,2022,1,1359,217,1142
MJW,STO,2022,2,1378,219,1159
MJW,STO,2022,3,1378,206,1172
MJW,STO,2022,4,1397,213,1184
MJW,STO,2022,5,1397,199,1198
MJW,STO,2022,6,1415,193,1222
MJW,STO,2022,7,1415,172,1243
MJW,STO,2022,8,1434,144,1290
MJW,STO,2022,9,1434,124,1310
MJW,STO,2022,10,1453,121,1332
PNJ,STO,2022,0,1557,264,1293
PNJ,STO,2022,1,1557,249,1308
PNJ,STO,2022,2,1578,251,1327
PNJ,STO,2022,3,1578,236,1342
PNJ,STO,2022,4,1598,243,1355
PNJ,STO,2022,5,1598,228,1370
PNJ,STO,2022,6,1619,220,1399
PNJ,STO,2022,7,1619,197,1422
PNJ,STO,2022,8,1640,160,1480
PNJ,STO,2022,9,1640,138,1502
PNJ,STO,2022,10,1660,135,1525
BTK,STO,2022,0,822,139,683
BTK,STO,2022,1,822,131,691
BTK,STO,2022,2,833,132,701
BTK,STO,2022,3,833,124,709
BTK,STO,2022,4,844,128,716
BTK,STO,2022,5,844,120,724
BTK,STO,2022,6,855,116,739
BTK,STO,2022,7,855,103,752
BTK,STO,2022,8,866,86,780
BTK,STO,2022,9,866,74,792
BTK,STO,2022,10,877,72,805
BTK,HERO,2022,0,441,74,367
BTK,HERO,2022,1,441,70,371
BTK,HERO,2022,2,447,70,377
BTK,HERO,2022,3,447,66,381
BTK,HERO,2022,4,453,68,385
BTK,HERO,2022,5,453,64,389
BTK,HERO,2022,6,459,62,397
BTK,HERO,2022,7,459,55,404
BTK,HERO,2022,8,465,45,420
BTK,HERO,2022,9,465,38,427
BTK,HERO,2022,10,471,38,433
KJN,HERO,2022,0,588,100,488
KJN,HERO,2022,1,588,94,494
KJN,HERO,2022,2,596,95,501
KJN,HERO,2022,3,596,89,507
KJN,HERO,2022,4,604,92,512
KJN,HERO,2022,5,604,86,518
KJN,HERO,2022,6,612,83,529
KJN,HERO,2022,7,612,75,537
KJN,HERO,2022,8,620,60,560
KJN,HERO,2022,9,620,51,569
KJN,HERO,2022,10,628,50,578
MGG,STO,2022,0,894,151,743
MGG,STO,2022,1,894,142,752
MGG,STO,2022,2,906,143,763
MGG,STO,2022,3,906,135,771
MGG,STO,2022,4,917,139,778
MGG,STO,2022,5,917,130,787
MGG,STO,2022,6,929,126,803
MGG,STO,2022,7,929,112,817
MGG,STO,2022,8,941,91,850
MGG,STO,2022,9,941,78,863
MGG,STO,2022,10,953,76,877
PTG,STO,2022,0,969,164,805
PTG,STO,2022,1,969,155,814
PTG,STO,2022,2,982,155,827
