lokasi,tipe,latitude,longitude
BRU,STO,-1.267700,116.828800
BRU,STO,-1.270000,116.824700
BRU,STO,-1.269800,116.824200
BRU,STO,-1.267200,116.828300
BRU,STO,-1.275000,116.842000
MKM,STO,-1.275800,116.842500
MKM,STO,-1.258700,116.852300
MKM,STO,-1.251900,116.860700
MKM,STO,-1.271800,116.856500
MKM,STO,-1.272700,116.885200
SKU,STO,-1.275500,116.842800
SKU,STO,-1.250300,116.858400
SKU,STO,-1.274500,116.833100
SKU,STO,-1.268300,116.894500
SKU,STO,-1.250900,116.827800
BAM,STO,-1.174000,116.878000
BAM,STO,-1.277800,116.823500
BAM,STO,-1.261700,116.820300
BAM,STO,-1.188400,116.989000
BAM,STO,-1.204000,116.982000
KJN,STO,-1.270600,116.830000
KJN,STO,-1.249600,116.828400
KJN,STO,-1.266500,116.889300
KJN,STO,-1.233700,116.872000
KJN,STO,-1.257400,116.855400
KRO,STO,-1.2637,116.8399
KRO,STO,-1.2632,116.8427
KRO,STO,-1.2636,116.8454
KRO,STO,-1.2631,116.8482
KRO,STO,-1.2634,116.8510
KRO,STO,-1.2637,116.8537
KRO,STO,-1.2633,116.8566
KRO,STO,-1.2609,116.8398
KRO,STO,-1.2604,116.8426
KRO,STO,-1.2608,116.8453
KRO,STO,-1.2604,116.8481
KRO,STO,-1.2607,116.8509
KRO,STO,-1.2610,116.8537
KRO,STO,-1.2605,116.8566
KRO,STO,-1.2581,116.8399
KRO,STO,-1.2576,116.8427
KRO,STO,-1.2580,116.8454
KRO,STO,-1.2576,116.8482
KRO,STO,-1.2579,116.8510
KRO,STO,-1.2582,116.8537
KRO,STO,-1.2577,116.8565
KRO,STO,-1.2553,116.8398
KRO,STO,-1.2549,116.8426
KRO,STO,-1.2552,116.8453
KRO,STO,-1.2548,116.8481
KRO,STO,-1.2551,116.8508
KRO,STO,-1.2554,116.8536
KRO,STO,-1.2549,116.8564
KRO,STO,-1.2525,116.8399
KRO,STO,-1.2520,116.8427
KRO,STO,-1.2524,116.8454
KRO,STO,-1.2520,116.8482
KRO,STO,-1.2523,116.8509
KRO,STO,-1.2526,116.8537
KRO,STO,-1.2521,116.8565
KRO,STO,-1.2497,116.8398
KRO,STO,-1.2492,116.8426
KRO,STO,-1.2496,116.8453
KRO,STO,-1.2492,116.8481
KRO,STO,-1.2495,116.8508
KRO,STO,-1.2498,116.8536
KRO,STO,-1.2493,116.8564
KRO,STO,-1.2469,116.8399
KRO,STO,-1.2464,116.8427
KRO,STO,-1.2468,116.8454
KRO,STO,-1.2464,116.8482
KRO,STO,-1.2467,116.8509
KRO,STO,-1.2470,116.8537
KRO,STO,-1.2465,116.8565
LAB,STO,-1.3167,116.8239
LAB,STO,-1.3162,116.8267
LAB,STO,-1.3166,116.8294
LAB,STO,-1.3161,116.8322
LAB,STO,-1.3164,116.8350
LAB,STO,-1.3167,116.8377
LAB,STO,-1.3163,116.8406
LAB,STO,-1.3139,116.8238
LAB,STO,-1.3134,116.8266
LAB,STO,-1.3138,116.8293
LAB,STO,-1.3134,116.8321
LAB,STO,-1.3137,116.8349
LAB,STO,-1.3140,116.8377
LAB,STO,-1.3135,116.8406
LAB,STO,-1.3111,116.8239
LAB,STO,-1.3106,116.8267
LAB,STO,-1.3110,116.8294
LAB,STO,-1.3106,116.8322
LAB,STO,-1.3109,116.8350
LAB,STO,-1.3112,116.8377
LAB,STO,-1.3107,116.8405
LAB,STO,-1.3083,116.8238
LAB,STO,-1.3078,116.8266
LAB,STO,-1.3082,116.8293
LAB,STO,-1.3078,116.8321
LAB,STO,-1.3081,116.8348
LAB,STO,-1.3084,116.8376
LAB,STO,-1.3079,116.8404
LAB,STO,-1.3055,116.8239
LAB,STO,-1.3050,116.8267
LAB,STO,-1.3054,116.8294
LAB,STO,-1.3050,116.8322
LAB,STO,-1.3053,116.8349
LAB,STO,-1.3056,116.8377
LAB,STO,-1.3051,116.8405
LAB,STO,-1.3027,116.8238
LAB,STO,-1.3022,116.8266
LAB,STO,-1.3026,116.8293
LAB,STO,-1.3022,116.8321
LAB,STO,-1.3025,116.8348
LAB,STO,-1.3028,116.8376
LAB,STO,-1.3023,116.8404
LAB,STO,-1.2999,116.8239
LAB,STO,-1.2994,116.8267
LAB,STO,-1.2998,116.8294
LAB,STO,-1.2994,116.8322
LAB,STO,-1.2997,116.8349
LAB,STO,-1.3000,116.8377
LAB,STO,-1.2995,116.8405
LIK,STO,-1.2667,116.8539
LIK,STO,-1.2662,116.8567
LIK,STO,-1.2666,116.8594
LIK,STO,-1.2661,116.8622
LIK,STO,-1.2664,116.8650
LIK,STO,-1.2667,116.8677
LIK,STO,-1.2663,116.8706
LIK,STO,-1.2639,116.8538
LIK,STO,-1.2634,116.8566
LIK,STO,-1.2638,116.8593
LIK,STO,-1.2634,116.8621
LIK,STO,-1.2637,116.8649
LIK,STO,-1.2640,116.8677
LIK,STO,-1.2635,116.8706
LIK,STO,-1.2611,116.8539
LIK,STO,-1.2606,116.8567
LIK,STO,-1.2610,116.8594
LIK,STO,-1.2606,116.8622
LIK,STO,-1.2609,116.8650
LIK,STO,-1.2612,116.8677
LIK,STO,-1.2607,116.8705
LIK,STO,-1.2583,116.8538
LIK,STO,-1.2578,116.8566
LIK,STO,-1.2582,116.8593
LIK,STO,-1.2578,116.8621
LIK,STO,-1.2581,116.8648
LIK,STO,-1.2584,116.8676
LIK,STO,-1.2579,116.8704
LIK,STO,-1.2555,116.8539
LIK,STO,-1.2550,116.8567
LIK,STO,-1.2554,116.8594
LIK,STO,-1.2550,116.8622
LIK,STO,-1.2553,116.8649
LIK,STO,-1.2556,116.8677
LIK,STO,-1.2551,116.8705
LIK,STO,-1.2527,116.8538
LIK,STO,-1.2522,116.8566
LIK,STO,-1.2526,116.8593
LIK,STO,-1.2522,116.8621
LIK,STO,-1.2525,116.8648
LIK,STO,-1.2528,116.8676
