lokasi,tipe,tahun,type,jan,feb,mar,apr,mei,jun,jul,agu,sep,okt,nov,des
BRU,STO,2022,lis,2480,2510,2545,2580,2610,2645,2695,2740,2850,2895,2935,2970
BRU,STO,2022,billing,372,376.5,381.8,387,392.3,397.5,404.3,411,427.5,434.3,440.3,445.5
BRU,STO,2022,sales,70,76,85,74,82,90,88,83,87,91,86,77
BRU,STO,2022,addon,29,31,33,34,36,37,40,39,42,44,43,41
BAM,STO,2022,lis,1584,1602,1621,1638,1655,1675,1710,1748,1820,1847,1876,1902
BAM,STO,2022,billing,237.6,240.3,243.2,245.7,248.3,251.3,256.5,262.2,273,277.1,281.4,285.3
BAM,STO,2022,sales,43,47,50,46,49,53,51,49,54,57,53,48
BAM,STO,2022,addon,18,19,20,21,22,23,24,25,26,27,28,28
KRO,STO,2022,lis,1340,1356,1371,1388,1401,1416,1447,1478,1540,1563,1587,1611
KRO,STO,2022,billing,201,203.4,205.7,208.2,210.2,212.4,217,221.7,231,234.5,238,241.7
KRO,STO,2022,sales,37,41,42,40,42,45,44,41,46,48,45,41
KRO,STO,2022,addon,15,16,17,18,18,19,20,21,22,23,23,24
BTK,STO,2022,lis,679,687,695,703,710,718,733,749,780,792,804,816
BTK,STO,2022,billing,101.9,103,104.3,105.5,106.5,107.7,109.9,112.4,117,118.8,120.6,122.4
BTK,STO,2022,sales,18,20,21,20,21,22,22,21,23,24,22,20
BTK,STO,2022,addon,8,8,9,9,9,10,10,10,11,11,12,12
BTK,HERO,2022,lis,365,370,375,379,384,388,397,409,420,427,434,441
BTK,HERO,2022,billing,54.8,55.5,56.3,56.9,57.6,58.2,59.6,61.4,63,64.1,65.1,66.2
BTK,HERO,2022,sales,11,12,13,12,12,13,13,13,14,15,14,13
BTK,HERO,2022,addon,4,5,5,5,5,5,5,6,6,6,6,7
MKM,STO,2022,lis,2715,2745,2777,2810,2840,2878,2932,2990,3120,3168,3214,3264
MKM,STO,2022,billing,407.3,411.8,416.6,421.5,426,431.7,439.8,448.5,468,475.2,482.1,489.6
MKM,STO,2022,sales,76,84,88,81,86,93,90,86,95,99,94,84
MKM,STO,2022,addon,32,33,35,37,38,40,42,43,46,47,49,50
KJN,STO,2022,lis,1436,1453,1469,1486,1502,1519,1551,1585,1650,1675,1701,1727
KJN,STO,2022,billing,215.4,217.9,220.4,222.9,225.3,227.9,232.7,237.8,247.5,251.3,255.2,259
KJN,STO,2022,sales,39,43,45,42,44,48,47,44,49,51,48,44
KJN,STO,2022,addon,17,18,18,19,20,21,22,23,24,25,25,26
KJN,HERO,2022,lis,487,493,499,505,510,516,527,538,560,569,578,586
KJN,HERO,2022,billing,73.1,73.9,74.9,75.8,76.5,77.4,79.1,80.7,84,85.4,86.7,87.9
KJN,HERO,2022,sales,14,15,16,15,16,17,16,16,18,19,17,16
KJN,HERO,2022,addon,6,6,6,7,7,7,7,7,8,8,9,9
PTG,STO,2022,lis,800,809,818,828,836,845,864,884,920,934,948,963
PTG,STO,2022,billing,120,121.4,122.7,124.2,125.4,126.8,129.6,132.6,138,140.1,142.2,144.5
PTG,STO,2022,sales,21,23,25,23,24,26,25,24,27,28,26,24
PTG,STO,2022,addon,9,9,10,10,11,11,11,12,13,13,14,14
LAB,STO,2022,lis,1201,1213,1227,1242,1255,1270,1297,1326,1380,1401,1422,1443
LAB,STO,2022,billing,180.2,181.9,184.1,186.3,188.3,190.5,194.5,198.9,207,210.2,213.3,216.5
LAB,STO,2022,sales,33,36,37,36,37,40,39,37,41,43,40,36
LAB,STO,2022,addon,14,15,15,16,16,17,18,18,20,21,21,22
LIK,STO,2022,lis,1497,1513,1531,1549,1565,1583,1617,1652,1720,1747,1772,1799
LIK,STO,2022,billing,224.6,226.9,229.7,232.4,234.8,237.4,242.5,247.8,258,262.1,265.8,269.8
LIK,STO,2022,sales,42,46,47,45,47,51,49,47,52,54,51,46
LIK,STO,2022,addon,17,18,19,20,21,21,22,23,25,26,27,27
MGG,STO,2022,lis,740,748,757,766,773,782,800,817,850,864,877,890
MGG,STO,2022,billing,111,112.2,113.6,114.9,116,117.3,120,122.6,127.5,129.6,131.5,133.5
MGG,STO,2022,sales,20,22,23,21,22,24,23,22,25,26,24,22
MGG,STO,2022,addon,8,9,9,9,10,10,10,11,12,12,12,13
MJW,STO,2022,lis,1122,1135,1148,1162,1174,1187,1213,1239,1290,1310,1330,1351
MJW,STO,2022,billing,168.3,170.3,172.2,174.3,176.1,178.1,181.9,185.9,193.5,196.5,199.5,202.7
MJW,STO,2022,sales,30,34,35,33,34,37,36,34,38,40,37,34
MJW,STO,2022,addon,13,13,14,14,15,15,16,16,18,19,19,20
PNJ,STO,2022,lis,1288,1302,1317,1332,1345,1360,1390,1421,1480,1503,1525,1549
